"payment_id","account_id","payment_date","payment_amount","payment_round"
86,6,2020-10-17,200000,12
87,6,2020-11-17,200000,13
88,6,2020-12-13,200000,14
89,6,2021-01-17,200000,15
90,6,2021-02-18,200000,16
91,6,2021-03-15,200000,17
92,6,2021-04-12,200000,18
93,6,2021-05-18,200000,19
94,6,2021-06-12,200000,20
95,6,2021-07-12,200000,21
96,6,2021-08-13,200000,22
97,6,2021-09-18,200000,23
98,6,2021-10-13,200000,24
99,6,2021-11-14,200000,25
100,6,2021-12-12,200000,26
101,6,2022-01-15,200000,27
102,6,2022-02-17,200000,28
103,6,2022-03-15,200000,29
104,6,2022-04-17,200000,30
105,6,2022-05-12,200000,31
106,6,2022-06-12,200000,32
107,6,2022-07-12,200000,33
108,6,2022-08-13,200000,34
109,6,2022-09-18,200000,35
110,6,2022-10-17,200000,36
111,6,2022-11-18,200000,37
112,6,2022-12-13,200000,38
113,6,2023-01-13,200000,39
114,6,2023-02-16,200000,40
115,6,2023-03-15,200000,41
116,6,2023-04-15,200000,42
117,6,2023-05-14,200000,43
118,6,2023-06-13,200000,44
119,6,2023-07-17,200000,45
120,6,2023-08-16,200000,46
121,6,2023-09-16,200000,47
122,6,2023-10-18,200000,48
123,6,2023-11-15,200000,49
124,6,2023-12-13,200000,50
125,6,2024-01-14,200000,51
126,6,2024-02-13,200000,52
127,6,2024-03-18,200000,53
128,7,2018-07-23,200000,1
129,7,2018-08-22,200000,2
130,7,2018-09-20,200000,3
131,7,2018-10-24,200000,4
132,7,2018-11-23,200000,5
133,7,2018-12-24,200000,6
134,7,2019-01-21,200000,7
135,7,2019-02-26,200000,8
136,7,2019-03-25,200000,9
137,7,2019-04-23,200000,10
138,8,2024-06-24,300000,1
139,8,2024-07-21,300000,2
140,8,2024-08-23,300000,3
141,8,2024-09-26,300000,4
142,8,2024-10-24,300000,5
143,8,2024-11-22,300000,6
144,8,2024-12-21,300000,7
145,8,2025-01-22,300000,8
146,8,2025-02-26,300000,9
147,8,2025-03-24,300000,10
148,8,2025-04-26,300000,11
149,8,2025-05-24,300000,12
150,8,2025-06-25,300000,13
151,8,2025-07-24,300000,14
152,8,2025-08-23,300000,15
153,8,2025-09-26,300000,16
154,8,2025-10-21,300000,17
155,8,2025-11-25,300000,18
156,8,2025-12-23,300000,19
157,8,2026-01-22,300000,20
158,8,2026-02-26,300000,21
159,8,2026-03-27,300000,22
160,8,2026-04-27,300000,23
161,9,2025-05-14,300000,1
162,10,2017-06-26,300000,1
163,10,2017-07-25,300000,2
164,10,2017-08-24,300000,3
165,10,2017-09-23,300000,4
166,10,2017-10-27,300000,5
167,10,2017-11-23,300000,6
168,10,2017-12-26,300000,7
169,10,2018-01-26,300000,8
170,10,2018-02-28,300000,9
171,10,2018-03-24,300000,10
172,10,2018-04-24,300000,11
173,10,2018-05-24,300000,12
174,10,2018-06-28,300000,13
175,10,2018-07-26,300000,14
176,10,2018-08-23,300000,15
177,10,2018-09-28,300000,16
178,10,2018-10-28,300000,17
179,10,2018-11-23,300000,18
180,10,2018-12-24,300000,19
181,10,2019-01-27,300000,20
182,10,2019-02-23,300000,21
183,10,2019-03-26,300000,22
184,10,2019-04-25,300000,23
185,10,2019-05-25,300000,24
186,10,2019-06-29,300000,25
187,10,2019-07-29,300000,26
188,10,2019-08-28,300000,27
189,10,2019-09-25,300000,28
190,10,2019-10-27,300000,29
191,10,2019-11-24,300000,30
192,10,2019-12-26,300000,31
193,10,2020-01-29,300000,32
194,10,2020-02-27,300000,33
195,10,2020-03-26,300000,34
196,10,2020-04-26,300000,35
197,11,2019-11-18,300000,1
198,11,2019-12-21,300000,2
199,11,2020-01-20,300000,3
200,11,2020-02-17,300000,4
201,11,2020-03-21,300000,5
202,11,2020-04-19,300000,6
203,11,2020-05-20,300000,7
204,11,2020-06-21,300000,8
205,11,2020-07-18,300000,9
206,11,2020-08-21,300000,10
207,11,2020-09-15,300000,11
208,11,2020-10-19,300000,12
209,11,2020-11-21,300000,13
210,11,2020-12-16,300000,14
211,11,2021-01-16,300000,15
212,11,2021-02-15,300000,16
213,11,2021-03-18,300000,17
214,11,2021-04-19,300000,18
215,11,2021-05-17,300000,19
216,11,2021-06-15,300000,20
217,11,2021-07-18,300000,21
218,11,2021-08-17,300000,22
219,11,2021-09-16,300000,23
220,11,2021-10-16,300000,24
221,11,2021-11-17,300000,25
222,11,2021-12-15,300000,26
223,11,2022-01-16,300000,27
224,11,2022-02-19,300000,28
225,11,2022-03-20,300000,29
226,12,2025-02-07,300000,1
227,12,2025-03-10,300000,2
228,12,2025-04-10,300000,3
229,12,2025-05-06,300000,4
230,12,2025-06-10,300000,5
231,12,2025-07-07,300000,6
232,12,2025-08-08,300000,7
233,12,2025-09-09,300000,8
234,12,2025-10-06,300000,9
235,12,2025-11-08,300000,10
236,12,2025-12-08,300000,11
237,13,2016-12-17,144285,1
238,13,2017-01-14,144285,2
239,13,2017-02-20,144285,3
240,13,2017-03-15,144285,4
241,13,2017-04-18,144285,5
242,13,2017-05-18,144285,6
243,13,2017-06-19,144285,7
244,13,2017-07-18,144285,8
245,13,2017-08-19,144285,9
246,13,2017-09-19,144285,10
247,13,2017-10-19,144285,11
248,13,2017-11-20,144285,12
249,13,2017-12-20,144285,13
250,13,2018-01-17,144285,14
251,13,2018-02-16,144285,15
252,13,2018-03-19,144285,16
253,13,2018-04-19,144285,17
254,13,2018-05-16,144285,18
255,13,2018-06-14,144285,19
256,13,2018-07-19,144285,20
257,13,2018-08-17,144285,21
258,13,2018-09-18,144285,22
259,13,2018-10-18,144285,23
260,13,2018-11-15,144285,24
261,13,2018-12-15,144285,25
262,13,2019-01-18,144285,26
263,13,2019-02-18,144285,27
264,13,2019-03-20,144285,28
265,13,2019-04-17,144285,29
266,14,2018-02-08,114861,1
267,14,2018-03-10,114861,2
268,14,2018-04-06,114861,3
269,14,2018-05-07,114861,4
270,14,2018-06-11,114861,5
271,14,2018-07-08,114861,6
272,14,2018-08-08,114861,7
273,14,2018-09-07,114861,8
274,14,2018-10-05,114861,9
275,14,2018-11-11,114861,10
276,14,2018-12-10,114861,11
277,14,2019-01-07,114861,12
278,14,2019-02-10,114861,13
279,14,2019-03-09,114861,14
280,14,2019-04-08,114861,15
281,14,2019-05-10,114861,16
282,14,2019-06-06,114861,17
283,14,2019-07-10,114861,18
284,14,2019-08-09,114861,19
285,14,2019-09-11,114861,20
286,14,2019-10-08,114861,21
287,14,2019-11-07,114861,22
288,14,2019-12-09,114861,23
289,14,2020-01-08,114861,24
290,14,2020-02-10,114861,25
291,14,2020-03-11,114861,26
292,14,2020-04-05,114861,27
293,14,2020-05-11,114861,28
294,14,2020-06-05,114861,29
295,14,2020-07-06,114861,30
296,14,2020-08-11,114861,31
297,14,2020-09-08,114861,32
298,14,2020-10-05,114861,33
299,14,2020-11-07,114861,34
300,14,2020-12-08,114861,35
301,14,2021-01-07,114861,36
302,15,2022-12-06,300000,1
303,15,2023-01-03,300000,2
304,15,2023-02-02,300000,3
305,15,2023-03-05,300000,4
306,15,2023-04-06,300000,5
307,15,2023-05-05,300000,6
308,15,2023-06-06,300000,7
309,15,2023-07-07,300000,8
310,15,2023-08-05,300000,9
311,15,2023-09-02,300000,10
312,15,2023-10-06,300000,11
313,15,2023-11-06,300000,12
314,15,2023-12-04,300000,13
315,15,2024-01-04,300000,14
316,15,2024-02-01,300000,15
317,15,2024-03-05,300000,16
318,15,2024-04-04,300000,17
319,15,2024-05-01,300000,18
320,15,2024-06-07,300000,19
321,15,2024-07-07,300000,20
322,15,2024-08-04,300000,21
323,15,2024-09-05,300000,22
324,15,2024-10-06,300000,23
325,15,2024-11-03,300000,24
326,15,2024-12-05,300000,25
327,15,2025-01-02,300000,26
328,15,2025-02-07,300000,27
329,15,2025-03-04,300000,28
330,15,2025-04-04,300000,29
331,15,2025-05-06,300000,30
332,16,2024-05-20,200000,1
333,16,2024-06-21,200000,2
334,16,2024-07-20,200000,3
335,16,2024-08-18,200000,4
336,16,2024-09-17,200000,5
337,16,2024-10-21,200000,6
338,16,2024-11-15,200000,7
339,16,2024-12-16,200000,8
340,16,2025-01-19,200000,9
341,16,2025-02-15,200000,10
342,16,2025-03-18,200000,11
343,16,2025-04-19,200000,12
344,16,2025-05-16,200000,13
345,16,2025-06-16,200000,14
346,16,2025-07-17,200000,15
347,17,2025-07-12,200000,1
348,17,2025-08-12,200000,2
349,17,2025-09-14,200000,3
350,17,2025-10-13,200000,4
351,17,2025-11-09,200000,5
352,17,2025-12-09,200000,6
353,17,2026-01-14,200000,7
354,17,2026-02-12,200000,8
355,17,2026-03-12,200000,9
356,17,2026-04-15,200000,10
357,17,2026-05-11,200000,11
358,18,2022-07-31,21288842,1
359,19,2023-09-04,196749,1
360,19,2023-10-01,196749,2
361,19,2023-11-06,196749,3
362,19,2023-12-06,196749,4
363,19,2024-01-06,196749,5
364,19,2024-02-05,196749,6
365,19,2024-03-06,196749,7
366,19,2024-04-01,196749,8
367,19,2024-05-03,196749,9
368,19,2024-06-05,196749,10
369,19,2024-07-03,196749,11
370,19,2024-08-05,196749,12
371,19,2024-09-03,196749,13
372,19,2024-10-02,196749,14
373,19,2024-11-03,196749,15
374,19,2024-12-06,196749,16
375,19,2025-01-02,196749,17
376,19,2025-02-03,196749,18
377,19,2025-03-05,196749,19
378,19,2025-04-05,196749,20
379,19,2025-05-05,196749,21
380,19,2025-06-04,196749,22
381,19,2025-07-01,196749,23
382,19,2025-08-05,196749,24
383,19,2025-09-02,196749,25
384,19,2025-10-05,196749,26
385,19,2025-11-04,196749,27
386,19,2025-12-06,196749,28
387,19,2026-01-02,196749,29
388,20,2025-05-18,64741,1
389,20,2025-06-20,64741,2
390,20,2025-07-20,64741,3
391,20,2025-08-18,64741,4
392,20,2025-09-18,64741,5
393,20,2025-10-18,64741,6
394,21,2025-05-18,53785,1
395,21,2025-06-15,53785,2
396,21,2025-07-18,53785,3
397,22,2025-05-20,61179,1
398,22,2025-06-21,61179,2
399,22,2025-07-21,61179,3
400,22,2025-08-16,61179,4
401,23,2021-07-22,3687416,1
402,24,2018-06-05,200000,1
403,24,2018-07-04,200000,2
404,24,2018-08-03,200000,3
405,24,2018-09-06,200000,4
406,24,2018-10-02,200000,5
407,24,2018-10-31,200000,6
408,24,2018-11-30,200000,7
409,24,2019-01-03,200000,8
410,24,2019-02-02,200000,9
411,24,2019-03-02,200000,10
412,24,2019-04-05,200000,11
413,24,2019-05-06,200000,12
414,25,2024-05-18,10822235,1
415,26,2021-05-19,290482,1
416,26,2021-06-20,290482,2
417,26,2021-07-17,290482,3
418,26,2021-08-20,290482,4
419,26,2021-09-18,290482,5
420,26,2021-10-22,290482,6
421,26,2021-11-17,290482,7
422,26,2021-12-20,290482,8
423,26,2022-01-16,290482,9
424,26,2022-02-18,290482,10
425,26,2022-03-18,290482,11
426,26,2022-04-16,290482,12
427,26,2022-05-20,290482,13
428,26,2022-06-19,290482,14
429,26,2022-07-16,290482,15
430,26,2022-08-20,290482,16
431,26,2022-09-16,290482,17
432,26,2022-10-16,290482,18
433,26,2022-11-17,290482,19
434,26,2022-12-20,290482,20
435,26,2023-01-19,290482,21
436,26,2023-02-22,290482,22
437,26,2023-03-17,290482,23
438,26,2023-04-16,290482,24
439,26,2023-05-22,290482,25
440,26,2023-06-21,290482,26
441,26,2023-07-22,290482,27
442,26,2023-08-16,290482,28
443,27,2021-05-19,172018,1
444,27,2021-06-16,172018,2
445,27,2021-07-20,172018,3
446,27,2021-08-19,172018,4
447,27,2021-09-18,172018,5
448,27,2021-10-19,172018,6
449,27,2021-11-17,172018,7
450,27,2021-12-17,172018,8
451,27,2022-01-18,172018,9
452,27,2022-02-16,172018,10
453,27,2022-03-20,172018,11
454,27,2022-04-19,172018,12
455,27,2022-05-17,172018,13
456,27,2022-06-16,172018,14
457,27,2022-07-18,172018,15
458,27,2022-08-22,172018,16
459,27,2022-09-21,172018,17
460,27,2022-10-22,172018,18
461,27,2022-11-22,172018,19
462,27,2022-12-17,172018,20
463,27,2023-01-18,172018,21
464,27,2023-02-19,172018,22
465,27,2023-03-22,172018,23
466,27,2023-04-22,172018,24
467,27,2023-05-20,172018,25
468,27,2023-06-17,172018,26
469,27,2023-07-17,172018,27
470,27,2023-08-19,172018,28
471,27,2023-09-21,172018,29
472,27,2023-10-16,172018,30
473,28,2021-05-22,492487,1
474,28,2021-06-19,492487,2
475,28,2021-07-16,492487,3
476,28,2021-08-19,492487,4
477,28,2021-09-20,492487,5
478,28,2021-10-21,492487,6
479,28,2021-11-19,492487,7
480,28,2021-12-17,492487,8
481,28,2022-01-21,492487,9
482,28,2022-02-21,492487,10
483,28,2022-03-19,492487,11
484,28,2022-04-22,492487,12
485,28,2022-05-18,492487,13
486,28,2022-06-22,492487,14
487,28,2022-07-19,492487,15
488,28,2022-08-21,492487,16
489,28,2022-09-17,492487,17
490,28,2022-10-21,492487,18
491,28,2022-11-22,492487,19
492,28,2022-12-17,492487,20
493,28,2023-01-16,492487,21
494,28,2023-02-20,492487,22
495,29,2025-09-16,300000,1
496,30,2024-10-10,300000,1
497,30,2024-11-10,300000,2
498,30,2024-12-07,300000,3
499,30,2025-01-09,300000,4
500,30,2025-02-07,300000,5
501,30,2025-03-08,300000,6
502,30,2025-04-06,300000,7
503,30,2025-05-12,300000,8
504,30,2025-06-11,300000,9
505,30,2025-07-06,300000,10
506,31,2022-11-26,42623822,1
507,32,2017-10-28,30121115,1
508,33,2018-01-13,49849141,1
509,34,2019-01-04,124168,1
510,34,2019-02-07,124168,2
511,35,2020-08-26,300000,1
512,35,2020-09-26,300000,2
513,35,2020-10-22,300000,3
514,35,2020-11-21,300000,4
515,35,2020-12-22,300000,5
516,35,2021-01-25,300000,6
517,35,2021-02-25,300000,7
518,35,2021-03-22,300000,8
519,35,2021-04-26,300000,9
520,35,2021-05-21,300000,10
521,35,2021-06-22,300000,11
522,35,2021-07-22,300000,12
523,35,2021-08-22,300000,13
524,35,2021-09-23,300000,14
525,35,2021-10-25,300000,15
526,35,2021-11-27,300000,16
527,35,2021-12-26,300000,17
528,36,2021-01-15,300000,1
529,36,2021-02-17,300000,2
530,36,2021-03-15,300000,3
531,36,2021-04-17,300000,4
532,36,2021-05-18,300000,5
533,36,2021-06-16,300000,6
534,36,2021-07-18,300000,7
535,36,2021-08-17,300000,8
536,36,2021-09-15,300000,9
537,36,2021-10-15,300000,10
538,36,2021-11-17,300000,11
539,36,2021-12-14,300000,12
540,37,2023-02-12,300000,1
541,37,2023-03-11,300000,2
542,37,2023-04-10,300000,3
543,37,2023-05-11,300000,4
544,37,2023-06-11,300000,5
545,37,2023-07-15,300000,6
546,37,2023-08-09,300000,7
547,37,2023-09-15,300000,8
548,37,2023-10-13,300000,9
549,37,2023-11-12,300000,10
550,37,2023-12-10,300000,11
551,38,2026-01-03,51362892,1
552,39,2016-09-10,300000,1
553,39,2016-10-07,300000,2
554,39,2016-11-12,300000,3
555,39,2016-12-09,300000,4
556,39,2017-01-10,300000,5
557,39,2017-02-07,300000,6
558,39,2017-03-08,300000,7
559,39,2017-04-10,300000,8
560,39,2017-05-09,300000,9
561,39,2017-06-12,300000,10
562,39,2017-07-13,300000,11
563,39,2017-08-10,300000,12
564,39,2017-09-13,300000,13
565,39,2017-10-07,300000,14
566,39,2017-11-09,300000,15
567,39,2017-12-08,300000,16
568,39,2018-01-09,300000,17
569,39,2018-02-09,300000,18
570,39,2018-03-11,300000,19
571,39,2018-04-09,300000,20
572,39,2018-05-09,300000,21
573,39,2018-06-10,300000,22
574,39,2018-07-08,300000,23
575,39,2018-08-10,300000,24
576,39,2018-09-10,300000,25
577,39,2018-10-07,300000,26
578,39,2018-11-10,300000,27
579,39,2018-12-11,300000,28
580,39,2019-01-11,300000,29
581,39,2019-02-13,300000,30
582,39,2019-03-07,300000,31
583,39,2019-04-13,300000,32
584,39,2019-05-13,300000,33
585,39,2019-06-12,300000,34
586,39,2019-07-08,300000,35
587,40,2026-01-04,300000,1
588,40,2026-02-02,300000,2
589,40,2026-03-04,300000,3
590,40,2026-04-02,300000,4
591,40,2026-05-01,300000,5
592,41,2020-10-22,718604,1
593,41,2020-11-22,718604,2
594,41,2020-12-24,718604,3
595,41,2021-01-20,718604,4
596,41,2021-02-25,718604,5
597,41,2021-03-21,718604,6
598,41,2021-04-25,718604,7
599,41,2021-05-21,718604,8
600,41,2021-06-23,718604,9
601,41,2021-07-19,718604,10
602,41,2021-08-21,718604,11
603,41,2021-09-19,718604,12
604,41,2021-10-22,718604,13
605,41,2021-11-19,718604,14
606,41,2021-12-22,718604,15
607,41,2022-01-20,718604,16
608,41,2022-02-20,718604,17
609,41,2022-03-24,718604,18
610,41,2022-04-24,718604,19
611,41,2022-05-23,718604,20
612,41,2022-06-21,718604,21
613,41,2022-07-23,718604,22
614,41,2022-08-22,718604,23
615,41,2022-09-23,718604,24
616,41,2022-10-19,718604,25
617,41,2022-11-22,718604,26
618,41,2022-12-24,718604,27
619,42,2020-04-13,280188,1
620,42,2020-05-13,280188,2
621,42,2020-06-10,280188,3
622,42,2020-07-08,280188,4
623,42,2020-08-11,280188,5
624,42,2020-09-10,280188,6
625,42,2020-10-13,280188,7
626,42,2020-11-14,280188,8
627,42,2020-12-08,280188,9
628,42,2021-01-14,280188,10
629,42,2021-02-12,280188,11
630,42,2021-03-14,280188,12
631,42,2021-04-12,280188,13
632,42,2021-05-12,280188,14
633,42,2021-06-13,280188,15
634,42,2021-07-12,280188,16
635,43,2024-08-12,695507,1
636,43,2024-09-07,695507,2
637,43,2024-10-10,695507,3
638,43,2024-11-07,695507,4
639,43,2024-12-13,695507,5
640,43,2025-01-11,695507,6
641,43,2025-02-10,695507,7
642,43,2025-03-09,695507,8
643,43,2025-04-11,695507,9
644,43,2025-05-10,695507,10
645,43,2025-06-12,695507,11
646,44,2016-10-19,243231,1
647,44,2016-11-19,243231,2
648,44,2016-12-21,243231,3
649,44,2017-01-19,243231,4
650,44,2017-02-17,243231,5
651,44,2017-03-22,243231,6
652,44,2017-04-18,243231,7
653,44,2017-05-20,243231,8
654,44,2017-06-18,243231,9
655,44,2017-07-18,243231,10
656,44,2017-08-17,243231,11
657,45,2023-05-19,42780326,1
658,46,2023-05-19,12143109,1
659,47,2024-03-11,31941173,1
660,48,2016-12-26,20331533,1
661,49,2021-08-17,230976,1
662,49,2021-09-15,230976,2
663,49,2021-10-14,230976,3
664,49,2021-11-16,230976,4
665,49,2021-12-20,230976,5
666,50,2024-01-02,292649,1
667,50,2024-02-03,292649,2
668,50,2024-03-02,292649,3
669,50,2024-03-31,292649,4
670,50,2024-05-04,292649,5
671,50,2024-05-30,292649,6
672,50,2024-07-03,292649,7
673,51,2022-09-27,222652,1
674,51,2022-10-24,222652,2
675,51,2022-11-25,222652,3
676,51,2022-12-25,222652,4
677,51,2023-01-22,222652,5
678,51,2023-02-24,222652,6
679,51,2023-03-23,222652,7
680,51,2023-04-28,222652,8
681,51,2023-05-25,222652,9
682,51,2023-06-25,222652,10
683,51,2023-07-22,222652,11
684,51,2023-08-26,222652,12
685,51,2023-09-23,222652,13
686,51,2023-10-27,222652,14
687,51,2023-11-24,222652,15
688,51,2023-12-25,222652,16
689,51,2024-01-25,222652,17
690,52,2019-12-26,298614,1
691,52,2020-01-25,298614,2
692,52,2020-02-23,298614,3
693,52,2020-03-29,298614,4
694,52,2020-04-28,298614,5
695,52,2020-05-23,298614,6
696,52,2020-06-27,298614,7
697,52,2020-07-26,298614,8
698,52,2020-08-25,298614,9
699,52,2020-09-28,298614,10
700,52,2020-10-29,298614,11
701,53,2018-03-15,500000,1
702,53,2018-04-15,500000,2
703,53,2018-05-11,500000,3
704,53,2018-06-12,500000,4
705,53,2018-07-10,500000,5
706,53,2018-08-09,500000,6
707,53,2018-09-15,500000,7
708,53,2018-10-14,500000,8
709,53,2018-11-15,500000,9
710,53,2018-12-15,500000,10
711,53,2019-01-13,500000,11
712,53,2019-02-11,500000,12
713,53,2019-03-09,500000,13
714,54,2017-01-10,500000,1
715,54,2017-02-07,500000,2
716,54,2017-03-10,500000,3
717,54,2017-04-11,500000,4
718,54,2017-05-08,500000,5
719,54,2017-06-08,500000,6
720,54,2017-07-09,500000,7
721,54,2017-08-10,500000,8
722,54,2017-09-13,500000,9
723,54,2017-10-13,500000,10
724,54,2017-11-12,500000,11
725,54,2017-12-07,500000,12
726,54,2018-01-10,500000,13
727,54,2018-02-10,500000,14
728,54,2018-03-07,500000,15
729,55,2020-05-21,272848,1
730,55,2020-06-18,272848,2
731,55,2020-07-19,272848,3
732,55,2020-08-16,272848,4
733,55,2020-09-16,272848,5
734,55,2020-10-21,272848,6
735,55,2020-11-17,272848,7
736,55,2020-12-21,272848,8
737,55,2021-01-22,272848,9
738,55,2021-02-21,272848,10
739,55,2021-03-16,272848,11
740,55,2021-04-18,272848,12
741,55,2021-05-21,272848,13
742,55,2021-06-18,272848,14
743,56,2024-09-17,82096,1
744,56,2024-10-19,82096,2
745,56,2024-11-19,82096,3
746,56,2024-12-19,82096,4
747,56,2025-01-17,82096,5
748,56,2025-02-18,82096,6
749,56,2025-03-19,82096,7
750,56,2025-04-16,82096,8
751,56,2025-05-16,82096,9
752,56,2025-06-19,82096,10
753,57,2024-03-24,186088,1
754,57,2024-04-25,186088,2
755,57,2024-05-23,186088,3
756,57,2024-06-25,186088,4
757,57,2024-07-23,186088,5
758,57,2024-08-23,186088,6
759,57,2024-09-20,186088,7
760,57,2024-10-26,186088,8
761,57,2024-11-20,186088,9
762,57,2024-12-22,186088,10
763,57,2025-01-23,186088,11
764,57,2025-02-24,186088,12
765,57,2025-03-26,186088,13
766,57,2025-04-21,186088,14
767,57,2025-05-22,186088,15
768,57,2025-06-20,186088,16
769,57,2025-07-25,186088,17
770,57,2025-08-22,186088,18
771,57,2025-09-22,186088,19
772,57,2025-10-26,186088,20
773,57,2025-11-22,186088,21
774,58,2025-03-08,150811,1
775,58,2025-04-05,150811,2
776,58,2025-05-07,150811,3
777,58,2025-06-05,150811,4
778,58,2025-07-03,150811,5
779,58,2025-08-05,150811,6
780,58,2025-09-08,150811,7
781,58,2025-10-08,150811,8
782,58,2025-11-03,150811,9
783,59,2024-05-31,190271,1
784,59,2024-07-02,190271,2
785,59,2024-08-02,190271,3
786,59,2024-09-01,190271,4
787,59,2024-10-01,190271,5
788,59,2024-10-31,190271,6
789,59,2024-11-27,190271,7
790,59,2025-01-02,190271,8
791,59,2025-01-28,190271,9
792,59,2025-02-25,190271,10
793,59,2025-03-31,190271,11
794,60,2024-05-18,108204,1
795,60,2024-06-17,108204,2
796,60,2024-07-15,108204,3
797,60,2024-08-18,108204,4
798,60,2024-09-18,108204,5
799,60,2024-10-19,108204,6
800,60,2024-11-21,108204,7
801,60,2024-12-20,108204,8
802,60,2025-01-21,108204,9
803,60,2025-02-15,108204,10
804,60,2025-03-17,108204,11
805,60,2025-04-18,108204,12
806,60,2025-05-21,108204,13
807,60,2025-06-15,108204,14
808,60,2025-07-18,108204,15
809,60,2025-08-17,108204,16
810,61,2024-08-29,300000,1
811,61,2024-09-29,300000,2
812,61,2024-10-27,300000,3
813,61,2024-11-26,300000,4
814,61,2024-12-30,300000,5
815,61,2025-01-31,300000,6
816,61,2025-03-02,300000,7
817,61,2025-03-26,300000,8
818,61,2025-05-02,300000,9
819,61,2025-06-01,300000,10
820,61,2025-07-02,300000,11
821,61,2025-07-30,300000,12
822,62,2024-01-13,688481,1
823,62,2024-02-11,688481,2
824,62,2024-03-14,688481,3
825,62,2024-04-12,688481,4
826,62,2024-05-10,688481,5
827,62,2024-06-10,688481,6
828,62,2024-07-11,688481,7
829,62,2024-08-15,688481,8
830,62,2024-09-09,688481,9
831,62,2024-10-09,688481,10
832,62,2024-11-15,688481,11
833,62,2024-12-14,688481,12
834,63,2025-05-02,268359,1
835,63,2025-05-31,268359,2
836,63,2025-07-01,268359,3
837,63,2025-08-04,268359,4
838,63,2025-09-04,268359,5
839,63,2025-10-01,268359,6
840,63,2025-11-01,268359,7
841,63,2025-12-01,268359,8
842,63,2026-01-03,268359,9
843,64,2017-08-05,163533,1
844,64,2017-09-03,163533,2
845,64,2017-10-02,163533,3
846,64,2017-11-02,163533,4
847,64,2017-12-05,163533,5
848,64,2018-01-01,163533,6
849,64,2018-02-04,163533,7
850,64,2018-03-06,163533,8
851,64,2018-04-04,163533,9
852,64,2018-05-04,163533,10
853,64,2018-06-03,163533,11
854,64,2018-07-04,163533,12
855,64,2018-08-02,163533,13
856,64,2018-09-03,163533,14
857,64,2018-09-30,163533,15
858,64,2018-11-04,163533,16
859,64,2018-12-04,163533,17
860,64,2018-12-31,163533,18
861,64,2019-02-04,163533,19
862,64,2019-02-28,163533,20
863,64,2019-04-03,163533,21
864,64,2019-05-02,163533,22
865,64,2019-05-31,163533,23
866,64,2019-07-01,163533,24
867,64,2019-07-31,163533,25
868,64,2019-09-04,163533,26
869,64,2019-10-06,163533,27
870,64,2019-11-06,163533,28
